,category,question,answer
11947,general_knowledge,What was the name of the detective agency in Moonlighting?,Blue Moon Detective Agency
11948,general_knowledge,"Who said that all matter comes from fire, water, earth & air",Aristotle
11949,geography,On what island is the Blue Grotto?,Capri
11950,entertainment_music,In Which Keyboard Instrument Are The Strings Plucked Not Struck,The Harpsichord
11951,general_knowledge,What is a Dandie Dinmont,Dog - Borders Terrier
11952,general_knowledge,What is the Capital of: Ghana,Accra
11953,general_knowledge,What did john augustus larson invent,Lie detector
11954,general_knowledge,What does a.d. actually stand for,Anno domini
11955,entertainment_music,Who Was Calling Gloria In 1982,Laura Branigan
11956,general_knowledge,What colour shirts must table tennis players wear in official competition,Black
11957,entertainment_board_games,A Royal Flush is the best hand you can get in which game,Poker
11958,general_knowledge,Satanic Majesties Request Music: What was the only hit song for the band 'It's a Beautiful Day',White
11959,general_knowledge,A Blue Imperial or a New Zealand white types of what,Rabbits
11960,general_knowledge,Which is the larger of the rhinocerous,White
11961,general_knowledge,The soft areas of the cartilage on a baby's head where the skull bones havn't joined is called what,Fontanelle
11962,history,"The Christmas story is only told in two of the four gospels, Luke is one which is the other ",Matthew 
11963,general_knowledge,Robin Goodfellow alternative name which Shakespeare character,Puck
11964,general_knowledge,What is the flower that stands for: bonds of affection,Gillyflower
11965,general_knowledge,The Witches Curse alternative name which G&S operetta,Ruddigore
11966,general_knowledge,African tree with massive trunk and edible fruit,Baobab
11967,general_knowledge,What one word fits ____hood; ____hole; ____date,Man
11968,sports,Which Country Produces The Most Successful Rally Drivers ,Finland 
11969,general_knowledge,"Which ""Coronation Street"" character was played by Ian Mercer",Gary mallett
11970,language,What is 'bountiful mother' in Latin?,Alma mater
11971,general_knowledge,Celtic language of Scots or Irish,Gaelic
11972,general_knowledge,Who would take silk as part of their job,Barrister
11973,general_knowledge,Baseball: star Joe Dimaggio married which actress,Marilyn monroe
11974,general_knowledge,Which fast suburban railway system in Ireland runs from Howth in the North to Bray in the South,Dart
11975,entertainment_film,"In 'La Traviata', what does Violetta sing?",Sempre Libera
11976,general_knowledge,Which Spanish town is noted for high quality steel swords,Toledo
11977,general_knowledge,Worlds largest numismatic publication is___.,Coinage
11978,general_knowledge,"In tokyo, for what are toupees sold",Dogs
11979,general_knowledge,What does a fishmonger do for a living,Sells fish
11980,general_knowledge,Three Scottish kings and eight Popes share what name,Alexander
11981,general_knowledge,Moriaphillia is sexual arousal from what,Telling dirty jokes
11982,entertainment_film,In which film was Goldie Hawn the body double for Julia Roberts?,Pretty Woman
11983,general_knowledge,Wimpy was the working title of what classic movie,Psycho
11984,general_knowledge,Naturally occuring community of flora and fauna adapted to the conditions in which they occur,Biome
11985,history,"What is the name of Tiny Tim's father in the story, 'A Christmas Carol'? ",Bob Crachit 
11986,general_knowledge,"Which Japanese suicide technique translates to the English ""belly cutting"" ?",Hara-kiri
11987,entertainment_music,What Type Of Music Would One Associate With The West Indies,Calypso
11988,entertainment_film,Name Jerry Garcia's long lived group.,The Grateful Dead
11989,general_knowledge,Who speaks Quechua,Peruvian Indians
11990,general_knowledge,In what field was Erie Shipton famous,Mountaineering
11991,general_knowledge,Brings your ancestors back to life - translated advert for what,Come alive with Pepsi - in China
11992,general_knowledge,Abel Magwitch and Biddy appear in which Dickens book,Great Expectations
11993,sports,Who was the first spin bowler to take over 500 test wickets? ,Shane Warne 
11994,general_knowledge,What is a turkey's wishbone,Furcula
11995,general_knowledge,Which Holds The Record For The Novelist Most Borrowed From Public Libraries ?,Catherine Cookson
11996,general_knowledge,Which playing card is called the Curse of Scotland,Nine of Diamonds
11997,general_knowledge,Climbing boys were banned what did sweeps drop down chimneys,Live Chickens
11998,general_knowledge,What type of charge does a proton carry,Positive
11999,general_knowledge,Local law - Atwood con - cant play what if waiting politician speak,Scrabble
12000,general_knowledge,Who starred in Ceiling Zero as a pilot,James Cagney
12001,science_nature,What is a young whale called?,Calf
12002,history,Who sang Happy Birthday to John F. Kennedy for his 45th?,Marilyn Monroe
12003,history,What country did Abel Tasman discover in 1642 ?,New Zealand
12004,geography,What country borders Egypt on the west,Libya
12005,general_knowledge,Dish served between fish and meat courses,Entree
12006,general_knowledge,The sleeve of which album was the first to feature lyrics,Beatles Sergeant Peppers
12007,general_knowledge,What is Xylography,Wood Engraving
12008,entertainment_music,"Which Album Was At One Time Going To Be Called ""Everest""",Abbey Road
12009,general_knowledge,What is the main food of mosquitoes,Nectar
12010,history,"He is identified with the expression, ""Eureka"".",Archimedes
12011,entertainment_music,Name The 2 No.1 Singles For The Seekers In The 60's,I'll Never Find Another You / The Carnival Is Over
12012,general_knowledge,What was the lone ranger's real name,John reid
12013,general_knowledge,"What industry is symbolized by the term ""madison avenue""",Advertising
12014,celebrities,Which Former Goodie Is Into Bird Watching ,Bill Oddie 
12015,general_knowledge,What is the national airline of the Netherlands called,Klm
12016,science_nature,This organic gem is a deep red secretion from a marine animal.,Coral
12017,entertainment_music,"What Connects Catatonia, Super Furry Animals, Budgie",Wales
12018,food,"Which cocktail consists of Tia Maria, vodka and coke? ",A Black Russian 
12019,geography,Which city has the largest rodeo in the world,Calgary
12020,general_knowledge,Anthony Daniels played who in a series of films,C-P3O
12021,general_knowledge,On TV what team worked out of Iolani Palace,Hawaii 5 0
12022,general_knowledge,In WW2 what was the British equivalent of the German E-Boat,MTB or Motor Torpedo Boat
12023,general_knowledge,Which spice comes in hands,Ginger
12024,general_knowledge,"What was the name of the comic strip that ""Henry Rush"" (Too Close for Comfort)wrote?",Cosmic Cow
12025,general_knowledge,A person putting a lot of effort into a task is said to be using,Elbow grease
12026,science_nature, The jackrabbit is not a rabbit; it is a __________,Hare
12027,entertainment_film,"When not a Birdman, what does Ray Randall do for a living",Police officer
12028,general_knowledge,What is the average lifespan of a major league baseball,Five to seven
12029,general_knowledge,Siderophobia is the fear of,Stars
12030,general_knowledge,To an Australian what is an esky,Portable Beer Cooler
12031,general_knowledge,Name the ship in which Sir Ernest Shackleton sailed to the Antarctic,Endurance
12032,general_knowledge,Who was 45 when he became the oldest heavyweight boxing champion,George
12033,general_knowledge,What part of a camera clicks when a photograph is taken,Shutter
12034,general_knowledge,What is the Capital of: Poland,Warsaw
12035,entertainment_music,What Is A Small Flute With A Higher Pitch Called,A Piccolo
12036,science_nature,What is the meaning of the name of the constellation Aquila ?,Eagle
12037,science_nature,"Which Canal , The Brainchild Of Ferdinand De Lesseps, Was Opened , To Great Aclaim, In November 1869 ",The Suez Canal 
12038,general_knowledge,Whose 1986 hit was 'Walk Like an Egyptian',The bangles
12039,entertainment_music,According To Cyni Lauper What Do Girls Just Want To Do,Have Fun
12040,general_knowledge,"Biology: In Linnaean classifcation, the group which comes directly under Kingdom.",Phylum
12041,general_knowledge,There is approximately one what for each person in the world,Chicken
12042,general_knowledge,In which country is the U.S. naval base of Guantanamo,Cuba
12043,general_knowledge,"What are the Anatolian, Atacama, Nafud and Zirreh",Deserts
12044,science_nature,What Disorder Is Characterised By Appetite And Weight Loss ,Anorexia Nervosa 
12045,entertainment_music,"Which Band Had Hits With ""Heaven"" & ""Cherry Pie""",Warrant
12046,general_knowledge,What was the name of tim holt's horse,Duke
12047,general_knowledge,"Which sign placed before a note in music, lowers it by a semitone?",Flat
12048,art,"Stephen King's: ""Pet ________"".",Semetary
12049,general_knowledge,What was discovered in the northern tip of Vancover Island in 1835,Coal
12050,entertainment_music,"In Which City Would You Find Jazz Clubs Called ""Birdland, The Blue Note, & The Village Vanguard""",New York
12051,entertainment_music,"Who had a massive hit in 1993 with ""I'm Easy/ Be Aggressive""?",Faith No More
12052,general_knowledge,In the twelve labours of Hercules what did he do third,Capture Arcadian Stag
12053,general_knowledge,"In the film 'hercules', whose voice is danny devito",Phil
12054,geography,In what country is the Mekong River Delta,Vietnam
12055,general_knowledge,Whitcome Judson in 1891 invented what for fastening shoes,Zip Fastener
12056,general_knowledge,Selma Lagerlof of Sweden in 1909 first woman to get what,Nobel Prize for Literature
12057,science_nature,What Are A Whales Breathing Organs Called ,Lungs 
12058,general_knowledge,What Are Goldie & Isis,Reserve Boats For The Boat Race
12059,general_knowledge,What monarch observed a jubilee in 1977,Queen elizabeth
12060,general_knowledge,For what tv sitcom did isabel sanford get her 1981 best actress emmy,Jeffersons
12061,general_knowledge,What is the most common sexual complaint of females over 50,Vaginal Dryness
12062,general_knowledge,What is a female swan called,Pen
12063,science_nature,A point to which rays of light converge is called a(n) ________.,Focus
12064,general_knowledge,"Who ""Loved not to wisely but too well"" Shakespeare play",Othello
12065,general_knowledge,Whats the term for a resident of Liverpool,Liverpudlian
12066,geography,Frankfort is the capital of which US state?,Kentucky
12067,entertainment_music,What musical does the song “There's No Business Like Show Business” Come From?,Annie Get Your Gun
12068,general_knowledge,What does the symbol 'am' represent,Americium
12069,general_knowledge,Which Country Inflicted “Sven Goran Eriksons” First Defeat As England Manager?,Holland
12070,general_knowledge,"Which ""fishy"" character, in an opera by Benjamin Britten, is elected May King, spending his prize money on a debauch",Albert herring
12071,general_knowledge,In Main what is it illegal to step out of,Flying Plane
12072,general_knowledge,"The Theme Tune To Which Classic TV Show Was Performed By ""The Dickes""",The Banana Splits
12073,general_knowledge,"Of which australian band, still rocking after 20 years, is angus young the brains",Ac/dc
12074,general_knowledge,How many children did queen anne have,Seventeen
12075,general_knowledge,The name for the group of stars which form a hunter with a club & shield is ________,Orion
12076,general_knowledge,What kind of teeth did george washington have,Wooden
12077,general_knowledge,4000 people each year are injured by what household item,Tea Pots
12078,general_knowledge,What more attractive name do fishmongers use for dogfish,Rock salmon
12079,food,Who released the following 'edible' album 'Buddah and the chocolate box' ,Cat Stevens 
12080,general_knowledge,A heavy winter fog containing ice crystals is a _____,Pogonip
12081,general_knowledge,What is the nickname for Idaho,Gem of the mountains
12082,general_knowledge,What were v1s and v2s supposed to do upon landing,Explode
12083,general_knowledge,How many Great Lakes do not border Michigan,One
12084,general_knowledge,In New York where is it illegal to talk to a stranger,An Elevator
12085,entertainment_music,"Who Started His Chart Career In 1983With ""Black Heart"" Billed As Marc And The Mambas",Marc Almond
12086,history,What is the name of the cake traditionally eaten in Italy at Christmas? ,Panettone 
12087,general_knowledge,Supposed paranormal force moving objects at a distance,Telekinesis
12088,general_knowledge,Don Hoeffler coined what phrase in Electronic News in 1971,Silicon Valley
12089,general_knowledge,What does an animal have if it is a bird,Feathers
12090,general_knowledge,Who is the patron saint of lovers?,Saint Valentine
12091,general_knowledge,After water what is the most consumed beverage,Tea
12092,entertainment_music,Everything Changes And Nobody Else Were Hit Albums For Which 90's Band,Take That
12093,entertainment_music,"Who Released An Album Of Woody Guthrie Lyrics Entitled ""Mermaid Avenue""",Billy Bragg & Wilco
12094,science_nature,Which Flightless Bird Lays The World's Largest Eggs? ,Ostrich 
12095,general_knowledge,Who won the first Grand Prix World Motor-racing Championship in 1950,Guiseppe farina
12096,general_knowledge,In SF California by law what is guaranteed to the masses,Sunshine
12097,general_knowledge,Richard Roundtree played what detective in three 70s films,John Shaft
12098,entertainment_music,"Bosendorfer, Steinway, & Bechstein Are All Makes Of Which Instrument",Piano
12099,entertainment_music,"Which Soul Artist Died At The Very End Of 1999, Having Been Confined To A Wheelchair Since 1990 After A Stage Lighting Rig Fell On Him",Curtis Mayfield
12100,general_knowledge,What word is used to describe a Muslim who has completed a pilgrimage to Mecca,Hadji
12101,general_knowledge,In Morse code one dash four dots what number,Six
12102,sports,"In Indoor Athletic Races, Over What Distance Is The Shortest Sprint Race Run ",60 m 
12103,history,What did Erik Rotheim invent in 1926?,Aerosol
12104,general_knowledge,The film 'the wizard of ______',Oz
12105,history,Who created an 86-letter syllabary for the cherokee language ,Sequoyah 
12106,general_knowledge,Tessenjutsu is a martial art based on the use of what item,A Fan
12107,general_knowledge,Janette MacDonald was nicknamed the Iron what,Butterfly
12108,general_knowledge,What is considered history's greatest military evacuation,Dunkirk
12109,general_knowledge,The rabbit's foot came to be considered a_____,Good luck charm
12110,general_knowledge,Capital cities: Oman,Muscat
12111,science_nature, Most cows give more milk when they __________,Listen to music
12112,general_knowledge,John McLaughlin made sold McLaughlin's Belfast style – what,Canada Dry Ginger
12113,general_knowledge,What is a group of doves,Dule
12114,general_knowledge,What colour on black produces the most visible combination,Yellow
12115,general_knowledge,Paul Morel was a character in which classic novel,Sons and Lovers
12116,food,What flavour is the drink Kahlua? ,Coffee 
12117,sports,Who Won The 800 Metres At The Moscow Olympics (1980) ,Steve Ovett 
12118,entertainment_music,"How Is The World Of Music Is ""Anna Mae Bullock"" Known To The World",Tina Turner
12119,general_knowledge,Which word describes a male singer singing in a high register,Falsetto
12120,general_knowledge,As what was the Taj Mahal built,Tomb
12121,general_knowledge,"In Which Sport Did The Term ""Hat Trick"" Originate",Cricket
12122,general_knowledge,What is the frog's name in 'the muppet show',Kermit d frog
12123,general_knowledge,In 1965 Gambia achieved independence from which country,United Kingdom
12124,general_knowledge,Captain Jean Luc-Picard keep a fish called what,Livingston
12125,general_knowledge,By what other name is the mountain K2 called,Mount godwin austen
12126,entertainment_music,Who Shot Up The Charts With Eloise In 1986,The Damned
12127,entertainment_video_games,What was the first lighthouse ?,Pharos of Alexandria
12128,general_knowledge,Brigham Young University offers what unusual Major,Ballroom Dancing
12129,general_knowledge,In the siege of Mafeking who led the defenders,Robert Baden Powell
12130,geography,What island has Hamilton as its capital?,Bermuda
12131,general_knowledge,During their lifetime the average person eats four what,Spiders in their sleep
12132,history,In What Us City Was President John F Kennedy Assasinated In 1963 ,Dallas / Texas 
12133,general_knowledge,Every human first spent about half an hour as a single what,Cell
12134,history,How Long Did The 100 Years War Last ,116 Years 
12135,general_knowledge,Which famous ship had a total crew numbering 430,Star ship Enterprise – Captain Kirks
12136,sports,"What sport do the following terms belong to - ""Hotdog & Bottom Trun""?",Surfing
12137,general_knowledge,Who was the French revolution leader who was later guillotined by Robespierre,Danton
12138,entertainment_music,"Who thought up the band name ""The Beatles""?",Stu Sutcliffe
12139,entertainment_music,Whose Debut Single Was A Cover Of A Smokey Robinson Tune And Former No.1 For The Temptations,Otis Redding / My Girl
12140,science_nature,What is the chemical symbol for copper,Cu
12141,general_knowledge,A poem of fourteen lines is called a..,Sonnet
12142,science_nature,What is a chuckwalla ,A lizard 
12143,general_knowledge,Oikophobia is the fear of what,Houses
12144,general_knowledge,A race is won by four laps of the track - which sport,Speedway
12145,general_knowledge,Eric Morley (Creator Of Miss World) Was Also Responsible For Which Hugely Successful TV Show,Come Dancing
12146,general_knowledge,"In Shakespeare, who killed Tybalt",Romeo
12147,general_knowledge,You ordered unagi in a Japanese restaurant what would you get,Eel
12148,sports,"In ten-pin bowling, how many points does a perfect game consist of?",Three hundred
12149,food,Taramasalata Is Made From The Roe Of Which Fish ,Cod Or Grey Mullet 
12150,food,An American frying pan is called what? ,A skillet 
12151,general_knowledge,Which American state has the longest borders with Canada,Montana
12152,general_knowledge,French riot police were ordered to the Rivera to deal with what,Hundreds topless women (1971)
12153,general_knowledge,Again in Ecuador if you were served cuy what have you eaten,Guinea pig
12154,general_knowledge,What tropical disease does an insect of the Anophales genus transmit,Malaria
12155,general_knowledge,In Venezuela lovers use pink what,Envelopes - post half price
12156,science_nature,What Is The Condenser Better Known As ,A Capacitor 
12157,entertainment_music,"Which Crew Was ""I Just Died In Your Arms"" A Hit For",Cutting Crew
12158,science_nature,What Was The First Animal To Be Domesticated? ,Dog 
12159,general_knowledge,What was King George VI first name,Albert - but Victoria said no king Albert 
12160,general_knowledge,What counrty would you visit to ski in the Dolomites,Italy
12161,history,He taught Alexander the Great.,Aristotle
12162,general_knowledge,On which mountain did noah's ark run aground,Mount ararat
12163,food,From Which Nut Is Marzipan Derived ,Almonds 
12164,general_knowledge,What was Canada's first chartered bank,Bank of montreal
12165,entertainment_film,"Name the band - songs include ""Aqualung, Thick as a Brick""?",Jethro Tull
12166,history,"Who Had An 80's Hit With The Song 'Funky Cold Medina,' ",Tone Loc 
12167,general_knowledge,In the grounds of which house is the largest private tomb/mausoleum in England,Castle howard
12168,general_knowledge,Cuffs and Buttons was a cocktail in the 19th century what it now,Southern Comfort
12169,general_knowledge,Who wrote Never Love a Stranger,Harold Robbins
12170,general_knowledge,What london street is named after the forerunner of croquet,Pall mall
12171,general_knowledge,Which famous bell ringer killed Archdeacon Frollo,Quasimodo
12172,general_knowledge,"Common name for a tropical tree (Mulberry), grown on the islands of the South Pacific Ocean",Breadfruit
12173,general_knowledge,Titanic music score sales are greatest which film did it beat,Chariots of Fire – Vangelis
12174,general_knowledge,Gustav Vasa was the King of which Scandinavian country,Sweden
12175,general_knowledge,Justitia is the roman goddess of ______,Justice
12176,geography,What is the capital of Malawi?,Lilongwe
12177,general_knowledge,Federal law prohibits the recycling of used - what in USA,Eyeglasses
12178,science_nature,"Which Small Breed Of Cattle Is Found Wile In The Tibetan Plateu , North Of The Himalayas ",Yak 
12179,geography,What Is The More Famous Name Of The Dancing (St Benezet Bridge) ,Le Pont D'Avignon 
12180,general_knowledge,"What george harrison lp featured the single ""give me love""",Living in the
12181,general_knowledge,What late night news show became popular in the eighties after the Iranian Hostage takeover?,Nightline
12182,history,What Was The Name Of Scotland's First King? ,Kenneth 
12183,general_knowledge,What state is 'the golden state',California
12184,history,"""The carol 'Silent Night' was first played on what instrument? """"Harpsichord,Guitar,Pipe Organ, Piano"""""" ",Guitar 
12185,general_knowledge,"What did the Greeks call Roman goddess, minerva",Athena
12186,entertainment_board_games,What is the most popular sport in england?,Darts
12187,general_knowledge,In which building in Washington D.C. does the United States Congress meet,The capitol
12188,general_knowledge,Mary Ann Nichols was the first - the first what,Victim of Jack the Ripper
12189,general_knowledge,Who was the first person to be buried in London's St. Paul's Cathedral,Sir christopher wren
12190,history,"After years of flirtation, the U.S. began direct military involvement in Vietnam in what year? ",1964 
12191,entertainment_music,Name the band whose debut album is titled 'Suck on This'.,Primus
12192,entertainment_music,Which 2 Members Of The Group 10CC Left To Form A Duo,Kevin Godley & Lol Creme
12193,general_knowledge,What job did Ernest Hemmingway do in WW1,Ambulance Driver
12194,entertainment_music,In Which Australian Film Did Mick Jagger Appear In 1970,Ned Kelly
12195,history,The Battle of Rorke's Drift in 1879 featured in which war? ,Zulu War (or Zulu Wars). 
12196,general_knowledge,At a Quaker wedding it is forbidden to do what,Take photographs
12197,general_knowledge,What is the only 15 letter word that can be spelled without repeating a letter,Uncopyrightable
12198,food,What the V.O. in Seagrams V.O. stands for?,Very old
12199,general_knowledge,"Which company, based at Westgate Brewery, Bury St. Edmonds, produces Abbot Ale",Greene king
12200,history,Who Brought Back Tobacco And Potatoes From The Americas? ,Sir Walter Raleigh 
12201,science_nature,What type of rock is marble?,Metamorphic
12202,general_knowledge,"Triassic, jurassic, & cretaceous are three periods during which era",Mesozoic
12203,history,Who had a Message To Rudy? ,The Specials 
12204,science_nature,What phenomenon is caused by the gravitational attraction of the moon?,Tides
12205,science_nature,What Is Sin? A+ Cos? Equal To? ,1 
12206,general_knowledge,In WW2 what sort of weapon was a kaiten,Japanese manned  torpedo
12207,science_nature,What is the atomic number of Molybdenum?,Forty two
12208,entertainment_music,How Old Was Leann Rhymes When She Had Her First Number One Country Album,Thirteen
12209,general_knowledge,Charles Lindbergh took only four of these to eat with him on his famous transatlantic flight.,Sandwiches
12210,general_knowledge,The study of sound is _________.,Acoustics
12211,general_knowledge,Which Punjabi city is famous for its Golden Temple,Amr1tsar
12212,history,Who Released The 70's Album Entitled Machine Gun Etiquette ,The Damned 
12213,entertainment_music,Bobby Farrell was the only male member of which chart topping group?,Boney M
12214,history,Who was defeated at the Battle of Little Bighorn?,George A. Custer
12215,general_knowledge,"In The World Of Music How Is ""Johnny Allen"" More Commonly Known",Jimi Hendrix
12216,science_nature," Canned herring were dubbed __________ because the canning process was first developed in Sardinia, Italy.",Sardines
12217,science_nature,Where Might You Find A Hammer And Anvil In The Human Body ,The Ear 
12218,general_knowledge,"Which best selling car with a production spanning some 30 years is to be replaced by the ""Focus""",Ford escort
12219,general_knowledge,Astana Is The Capital City Of Which Asian Country,Kazakhstan
12220,general_knowledge,"Whose show claimed to have ""the world's most dangerous band""",David letterman
12221,general_knowledge,Which of Shakespeare's plays contains the most number of words,Hamlet
12222,general_knowledge,Chaucer's Canterbury Tales were written in which century,Fourteenth
12223,entertainment_music,Which Beatles Song Gave Billy Bragg His Only Uk No.1,She's Leaving Home
12224,general_knowledge,What is a line of columns supporting a horizontal or arched superstructure,Colonnade
12225,general_knowledge,What season is it in Australia when Santa Claus drops in,Summer
12226,general_knowledge,"Eggplant is not a vegetable, but is actually a member of what plant family",Thistle
12227,general_knowledge,To whom does the island of St Helena belong,United kingdom
12228,entertainment_music,Which Country Does Enya Come From,Ireland
12229,geography,What is the basic unit of currency for Seychelles ?,Rupee
12230,general_knowledge,In 1951 these were invented what were,Disposable diapers – nappies
12231,general_knowledge,Are yoU.S.tanding or sitting when you put your coccyx on the floor,Sitting
12232,general_knowledge,Which film finds Jack Nicholson in the Los Angeles oriental district,Chinatown
12233,history,In What Year Did India Gain Independence Marking The Start Of Decolonisation ,1947 
12234,general_knowledge,"Which london station handles trains directly to the continent, through the channel tunnel",Waterloo
12235,science_nature,This is the only mammal with four knees.,Elephant
12236,sports,"In Which Sport Did Britains Nigel Short, Compete For The World Championship in 1991 ",Chess 
12237,history,What was the fight between Argentina and Great Britan over? ,Falkland Islands 
12238,general_knowledge,"Nunaat Island, southern Indonesia, one of the Lesser Sunda Islands, in the Indian Ocean",Bali
12239,geography,Which Country Has The Longest Coastline ,Canada 
12240,general_knowledge,"The blesbok, a south african antelope, is almost the same color as",Grapefruit
12241,general_knowledge,Who received 800000 fan letters in 1933,Mickey Mouse
12242,geography,____________________ has 570 miles of shoreline.,New york city
12243,general_knowledge,What did the Israelites eat in the desert after the exodus,Manna
12244,entertainment_music,What Is The Singers Bjork Nationality,Icelandic
12245,general_knowledge,By Law in Tulsa you need a licensed engineer to open what,Soda Bottle
12246,geography,What is the largest ocean?,Pacific Ocean
12247,general_knowledge,What famous building is located on the banks of the river Jumna?,Taj Mahal
12248,sports,Which Country Is Set To Host The 2010 World Cup Finals ,South Africa 
12249,entertainment_music,"""Planet Earth"" Was Duran Duran's First Hit, But What Was Their First Top Ten Entry",Girls On Film
12250,general_knowledge,Carly Simon sang the theme song to which James Bond film,The spy who loved me
12251,science_nature,What is the meaning of the name of the constellation Canes Venatici ?,Greyhounds
12252,general_knowledge,What is a one humped camel called,Dromedary
12253,general_knowledge,"What did Lyndon Johnson declare war against on January 8, 1964",Poverty
12254,history,What did pre-Christian pagans call Xmas time ,Yule 
12255,geography,What Is The Oldest Inhabited City In The World ,"Damascus, Syria "
12256,geography,What is the capital of Dominican Republic ?,Santo Domingo
12257,history,"Which Group Had 3 Consecutive Christmas Number One's In 1996,1997,1998 ",The Spice Girls 
12258,history,"Which Christmas Carol, tells the tale of a 10th Century Duke of Bohemia ",Good King Wenceslas 
12259,geography,In which continent would you find the Congo river ?,Africa
12260,general_knowledge,What is the fifth most popular meal ordered in sit down restaurants in the U.S.,Baked ham
12261,history,James Dean died during the filming of which film in 1955? ,Giant 
12262,entertainment_music,"Who Had A Hit With ""She Drives Me Crazy""",Fine Young Cannibals
12263,general_knowledge,In Which Country Will You Find The Highest Concentration Of Japanese People Outside Japan,Brazil
12264,general_knowledge,What were the first tennis balls stuffed with,Human Hair
12265,general_knowledge,Name the word an anti mine device towed from bows of a ship,Paravane
12266,general_knowledge,What is banned by law in Japanese restaurants,Tipping
12267,general_knowledge,What is the official language of Mozambique,Portuguese
12268,general_knowledge,Which country owns the Hen and Chicken islands,North island New Zealand
12269,general_knowledge,Brisbane is the state capital of which SE Australian state,Queensland
12270,geography,In Which European Capitaal Is The Famous Mankin Pis? ,Brussels 
12271,general_knowledge,Zorro was the secret identity of what wealthy landowner,Don Diego De La Vega
12272,geography,Havana is the capital of which country,Cuba
12273,entertainment_music,"In which Year Did George McCrae Release His No.1 Hit ""Rock Your Baby""",1974
12274,general_knowledge,Pogonophobia is a fear of ______,Beards
12275,general_knowledge,What country celebrates its National Day on 12th October?,Spain
12276,general_knowledge,"The large optics diamond turning machine has severed a single human hair, lenghtwise, how many times",3000
12277,general_knowledge,"If yoU.S.aw the word 'aloo' on an Indian menu, which vegetable would it stand for",Potato
12278,general_knowledge,California is to Eureka as New York is to,Excelsior
12279,general_knowledge,What was karl marx's term for wage laborers in modern capitalist systems,Proletariat
12280,general_knowledge,Where would you see analog watches showing 10.10,On most watch advertisements
12281,general_knowledge,In your body where is the macula,Eye centre of the retina
12282,general_knowledge,What does the Greek word eureka mean,I have found it
12283,entertainment_music,"Which Of These Shadows Records Was Not A No.1 Apache, FBI, Kon Tiki, Dance On, Foot Tapper""",FBI
12284,general_knowledge,"On the Bullwinkle Show, what was Boris's last name",Badenov
12285,general_knowledge,In the original Wizard of Oz what colour were the slippers,Silver
12286,sports,In Which Sport Could You Take Long And Short Corners? ,Hockey 
12287,general_knowledge,What religious movement did joseph smith found,Mormonism
12288,entertainment_music,"How Are ""Rod Stewart, Ron Wood, Ian McLagan, Ronnie Lane & Kenny Jones"" More Commonly Known",The Faces
12289,general_knowledge,Which year was the St. Valentines Day Massacre,1929
12290,general_knowledge,"What is the nickname for Allentown, Pennsylvania",Cement city
12291,general_knowledge,What is a group of coots,Cover
12292,general_knowledge,What Boston craftsman made George Washington's false teeth,Paul revere
12293,general_knowledge,Jean Vander Pyl Who Died In 1999 Aged 79 Provided The Voice Of Which Well Known Cartoon Character,Wilma Flintstone
12294,general_knowledge,"Joe Frazier Was The First Ever Boxer To Defeat Muhammed Ali , But Who Was The 2nd?",Leon Spinks
12295,history,"The official song and anthem of the state of oklahoma is ___,composed and written by richard rodgers and oscar hammerstein ",Oklahoma 
12296,general_knowledge,What does gastritis affect,Stomach
12297,general_knowledge,In Which Month Of The Year Does The Superbowl Take Place,January
12298,geography,What is the capital of Estonia,Tallinn
12299,general_knowledge,Dresses first incorporated this in the 1930's,Zipper
12300,general_knowledge,"How is ""Maria Kalageropoulos"" better known",Maria callas
12301,general_knowledge,What Italian city is the Monza grand prix held in,Monza
12302,history,Who are the four ghosts in Charles Dickens' A Christmas Carol? ,"Christmas Past, Present, Yet to Come, and Jacob Marley "
12303,general_knowledge,"The two rival gangs in ""west side story"" were the sharks and the _________",Jets
12304,general_knowledge,"The fastest bird is the _____ ______ _____, clocked at speeds of up to 106 miles per hour",Spine tailed swift
12305,general_knowledge,A vaulted roof of circular or polygonal shape.,Dome
12306,general_knowledge,25 points were given to a laff-alympics team for placing first in a given event. How many for placing second,Fifteen
12307,general_knowledge,Frampton with what vegetable song did dee dee sharp score big,Mashed potato time
12308,general_knowledge,In which Fritz Lang film of 1926 do impoverished workers live beneath a city,Metropolis
12309,art,"A movement that began in Britain and the United States in the 1950s. It used the images and techniques of mass media, advertising, and popular culture, often in an ironic way.",Pop art
12310,general_knowledge,This cereal is the only one that features a frog as its mascot,Sugar smacks
12311,general_knowledge,What was Charles Dickens last (unfinished) novel,Mystery of Edwin Drood
12312,general_knowledge,Superstition if a woman sees a robin Valentines day marry who,Sailor
12313,general_knowledge,"In ""alice through the looking glass"", who played humpty dumpty",Jimmy durante
12314,general_knowledge,"A commonly used process for oxide and nitride deposition, CVD, stands for:",Chemical vepor deposition
12315,geography,What is the capital of Maldives ?,Male
12316,general_knowledge,Which country has the largest orthodox church,Russia
12317,general_knowledge,What is the main language of Liechtenstein,German
12318,sports,With which sport is Bobby Moore associated ?,Soccer
12319,general_knowledge,What natural hydrocarbon polymer comes from the hevea brasiliensis tree,Rubber
12320,geography,What is the capital of Bulgaria ?,Sofia
12321,general_knowledge,Who was the 26th president of the U.S.,Theodore roosevelt
12322,general_knowledge,In 2000 what state removed confederate flag - statehouse dome,South Carolina
